# key	provider	plan hint(sub|local|-)  scripts/gen-prices.py
token-plan.cn-beijing.maas.aliyuncs.com	alibaba-token-plan-cn	sub
token-plan.cn-beijing.maas.aliyuncs.com/compatible-mode	alibaba-token-plan-cn	sub
token.sensenova.cn	sensenova	-
tokengo	tokengo	-
tokenhub.tencentmaas.com	tencent-tokenhub	-
tokenrouter	tokenrouter	-
trustedrouter	trustedrouter	-
umans-ai	umans-ai	-
umans-ai-coding-plan	umans-ai-coding-plan	sub
unorouter	unorouter	-
upstage	upstage	-
v0	v0	-
vancine	vancine	-
vancine.com	vancine	-
venice	venice	-
vercel	vercel	-
vertex	google-vertex	-
vispark	vispark	-
vivgrid	vivgrid	-
volcengine	volcengine	-
volcengine-coding-plan	volcengine-coding-plan	sub
vultr	vultr	-
wafer.ai	wafer.ai	-
wallaby	wallaby	-
wandb	wandb	-
watsonx	watsonx	-
www.xpersona.co	xpersona	-
xai	xai	-
xiaomi	xiaomi	-
xiaomi-token-plan-ams	xiaomi-token-plan-ams	sub
xiaomi-token-plan-cn	xiaomi-token-plan-cn	sub
xiaomi-token-plan-sgp	xiaomi-token-plan-sgp	sub
xpersona	xpersona	-
zai	zai	-
zai-coding-plan	zai-coding-plan	sub
zcode.z.ai	zai-coding-plan	sub
zeldoc	zeldoc	-
zenifra	zenifra	-
zenmux	zenmux	-
zenmux.ai	zenmux	-
zenmux.ai/api	zenmux	-
zenmux.ai/api/anthropic	zenmux	-
zhipuai	zhipuai	-
zhipuai-coding-plan	zhipuai-coding-plan	sub
